one_hop_head_tail,one_hop_triple_intersection,two_hop_head_tail,two_hop_triple_intersection,three_hop_head_tail,three_hop_triple_intersection,relation_degree_1hop,label,head,relation,tail
0,0,6,6,33,32,269,0,/m/011j5x,/award/award_nominee/award_nominations./award/award_nomination/award,/m/05ztrmj
2,0,73,68,113,112,69,1,/m/0140t7,/music/artist/track_contributions./music/track_contribution/role,/m/06rvn
1,0,268,267,326,325,269,1,/m/0127m7,/award/award_nominee/award_nominations./award/award_nomination/award,/m/0bdwqv
2,0,251,226,308,305,227,1,/m/01438g,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/0237fw
1,0,74,73,82,81,75,1,/m/013zdg,/education/educational_degree/people_with_this_degree./education/education/institution,/m/01n4w_
0,0,0,0,24,24,150,0,/m/05fgt1,/music/genre/artists,/m/0838y
1,0,98,97,153,152,99,1,/m/011w20,/people/person/gender,/m/05zppz
1,0,67,15,115,90,112,0,/m/047yc,/people/person/nationality,/m/09c7w0
0,0,0,0,4,4,57,0,/m/01b8jj,/music/performance_role/regular_performances./music/group_membership/role,/m/03ndd
1,0,124,123,159,158,125,1,/m/011k1h,/music/record_label/artist,/m/0qf3p
1,0,149,148,177,176,150,1,/m/012yc,/music/genre/artists,/m/01vxlbm
0,0,76,6,143,109,38,0,/m/012mrr,/film/film/music,/m/01438g
0,0,2,2,21,16,115,0,/m/011yrp,/award/award_winning_work/awards_won./award/award_honor/award_winner,/m/0mb5x
0,0,0,0,1,1,4,0,/m/012wxt,/people/profession/specialization_of,/m/0m2l9
1,0,29,28,56,55,30,1,/m/013pp3,/influence/influence_node/influenced_by,/m/0379s
5,0,244,21,332,283,40,0,/m/0136pk,/base/popstra/celebrity/dated./base/popstra/dated/participant,/m/012gx2
1,0,1,0,3,2,2,1,/m/011w54,/award/award_category/winners./award/award_honor/award_winner,/m/04z0g
0,0,46,0,83,55,146,0,/m/012x4t,/people/person/profession,/m/02x2gy0
0,0,2,2,23,22,146,0,/m/02js_6,/people/person/profession,/m/02hrh1q
